date,open,high,low,close,volume,turnover
2025/10/23,4.687,4.719,4.642,4.713,699342841.0,0.0
2025/10/24,4.728,4.772,4.727,4.77,865303618.0,0.0
2025/10/27,4.808,4.831,4.796,4.826,758524912.0,0.0
2025/10/28,4.815,4.85,4.792,4.802,725949138.0,0.0
2025/10/29,4.81,4.864,4.81,4.862,679278356.0,0.0
2025/10/30,4.858,4.874,4.816,4.823,816461854.0,0.0
2025/10/31,4.819,4.826,4.755,4.756,1432568620.0,0.0
2025/11/03,4.752,4.767,4.705,4.763,775988137.0,0.0
2025/11/04,4.76,4.773,4.706,4.729,1201524329.0,0.0
2025/11/05,4.692,4.751,4.668,4.735,763353285.0,0.0
2025/11/06,4.742,4.813,4.742,4.805,732664905.0,0.0
2025/11/07,4.79,4.812,4.774,4.795,539255553.0,0.0
2025/11/10,4.797,4.811,4.763,4.807,448348844.0,0.0
2025/11/11,4.814,4.824,4.757,4.763,565193563.0,0.0
2025/11/12,4.754,4.783,4.731,4.765,523690675.0,0.0
2025/11/13,4.757,4.815,4.752,4.812,645956059.0,0.0
2025/11/14,4.785,4.796,4.739,4.741,593631715.0,0.0
2025/11/17,4.73,4.74,4.691,4.71,752466929.0,0.0
2025/11/18,4.7,4.717,4.664,4.683,856823933.0,0.0
2025/11/19,4.678,4.717,4.678,4.697,856961494.0,0.0
2025/11/20,4.724,4.729,4.673,4.676,561939501.0,0.0
2025/11/21,4.645,4.654,4.562,4.564,1496400410.0,0.0
2025/11/24,4.579,4.585,4.533,4.557,1155747722.0,0.0
2025/11/25,4.58,4.623,4.579,4.597,895940577.0,0.0
2025/11/26,4.6,4.646,4.594,4.626,914079306.0,0.0
2025/11/27,4.629,4.674,4.618,4.622,479369411.0,0.0
2025/11/28,4.621,4.642,4.603,4.635,519234054.0,0.0
2025/12/01,4.646,4.688,4.639,4.687,578301370.0,0.0
2025/12/02,4.686,4.686,4.651,4.666,383444900.0,0.0
2025/12/03,4.665,4.684,4.635,4.645,395034780.0,0.0
2025/12/04,4.648,4.671,4.628,4.657,402618836.0,0.0
2025/12/05,4.656,4.71,4.643,4.698,687203054.0,0.0
2025/12/08,4.711,4.754,4.709,4.732,826343751.0,0.0
2025/12/09,4.727,4.739,4.694,4.708,700105499.0,0.0
2025/12/10,4.7,4.709,4.658,4.702,620776436.0,0.0
2025/12/11,4.708,4.722,4.662,4.668,619944253.0,0.0
2025/12/12,4.678,4.702,4.648,4.694,867153920.0,0.0
2025/12/15,4.674,4.712,4.55,4.667,691785514.0,0.0
2025/12/16,4.66,4.667,4.601,4.62,769355001.0,0.0
2025/12/17,4.619,4.715,4.616,4.699,1085613318.0,0.0
2025/12/18,4.683,4.692,4.661,4.668,678018855.0,0.0
2025/12/19,4.68,4.714,4.666,4.688,831788937.0,0.0
2025/12/22,4.702,4.735,4.702,4.73,837121964.0,0.0
2025/12/23,4.735,4.763,4.726,4.74,808340536.0,0.0
2025/12/24,4.74,4.765,4.726,4.757,533429378.0,0.0
2025/12/25,4.75,4.777,4.744,4.766,427244304.0,0.0
2025/12/26,4.766,4.801,4.755,4.784,816080091.0,0.0
2025/12/29,4.78,4.794,4.749,4.763,852905033.0,0.0
2025/12/30,4.746,4.79,4.742,4.773,477224225.0,0.0
2025/12/31,4.777,4.789,4.742,4.753,666829236.0,0.0
2026/01/05,4.783,4.848,4.78,4.844,1017132485.0,0.0
2026/01/06,4.85,4.92,4.848,4.919,1052301545.0,0.0
2026/01/07,4.92,4.927,4.876,4.901,933402554.0,0.0
2026/01/08,4.888,4.894,4.843,4.863,682719778.0,0.0
2026/01/09,4.857,4.903,4.844,4.885,1134855258.0,0.0
2026/01/12,4.893,4.929,4.861,4.913,1333075333.0,0.0
2026/01/13,4.922,4.965,4.876,4.896,1271783195.0,0.0
2026/01/14,4.896,4.949,4.841,4.866,2136722288.0,0.0
2026/01/15,4.849,4.894,4.843,4.875,5217148860.0,0.0
2026/01/16,4.905,4.919,4.838,4.859,5320166468.0,0.0
2026/01/19,4.737,4.769,4.718,4.738,2913439864.0,0.0
2026/01/20,4.735,4.751,4.688,4.724,2886765633.0,0.0
2026/01/21,4.709,4.764,4.709,4.73,4903973986.0,0.0
2026/01/22,4.741,4.76,4.703,4.727,4316344208.0,0.0
2026/01/23,4.732,4.742,4.687,4.704,6769378109.0,0.0
2026/01/26,4.712,4.76,4.694,4.712,5939852882.0,0.0
2026/01/27,4.712,4.742,4.679,4.71,4339135015.0,0.0
2026/01/28,4.725,4.743,4.704,4.725,8497782253.0,0.0
2026/01/29,4.724,4.779,4.704,4.768,3545664739.0,0.0
2026/01/30,4.736,4.758,4.642,4.711,1670274801.0,0.0
2026/02/02,4.68,4.719,4.591,4.6,2651134391.0,0.0
2026/02/03,4.64,4.668,4.585,4.664,1052944612.0,0.0
2026/02/04,4.652,4.709,4.643,4.707,1052505916.0,0.0
2026/02/05,4.68,4.695,4.645,4.679,933982876.0,0.0
2026/02/06,4.643,4.691,4.61,4.649,881673740.0,0.0
2026/02/09,4.695,4.73,4.686,4.727,701119504.0,0.0
2026/02/10,4.733,4.739,4.72,4.733,680461663.0,0.0
2026/02/11,4.727,4.732,4.714,4.723,372078690.0,0.0
2026/02/12,4.729,4.735,4.716,4.727,398012411.0,0.0
2026/02/13,4.714,4.714,4.667,4.671,1367357151.0,0.0
2026/02/24,4.725,4.736,4.705,4.716,624245587.0,0.0
2026/02/25,4.717,4.778,4.716,4.75,873403106.0,0.0
2026/02/26,4.751,4.754,4.712,4.735,766372132.0,0.0
2026/02/27,4.72,4.732,4.7,4.725,606245261.0,0.0
2026/03/02,4.694,4.743,4.674,4.739,1242367525.0,0.0
2026/03/03,4.741,4.751,4.665,4.678,966557866.0,0.0
2026/03/04,4.64,4.65,4.587,4.61,829224020.0,0.0
2026/03/05,4.647,4.678,4.639,4.654,568420959.0,0.0
2026/03/06,4.64,4.682,4.624,4.667,504375859.0,0.0
2026/03/09,4.623,4.638,4.56,4.629,838098260.0,0.0
2026/03/10,4.642,4.689,4.641,4.683,546012517.0,0.0
2026/03/11,4.686,4.719,4.682,4.711,593712221.0,0.0
2026/03/12,4.711,4.711,4.665,4.694,343383626.0,0.0
2026/03/13,4.672,4.716,4.67,4.677,325112905.0,0.0
2026/03/16,4.675,4.686,4.632,4.68,403862701.0,0.0
2026/03/17,4.686,4.731,4.645,4.646,723337660.0,0.0
2026/03/18,4.652,4.67,4.616,4.662,770262709.0,0.0
2026/03/19,4.621,4.641,4.581,4.599,772241809.0,0.0
2026/03/20,4.598,4.635,4.573,4.576,761273568.0,0.0
2026/03/23,4.528,4.537,4.406,4.43,1523498110.0,0.0
2026/03/24,4.463,4.48,4.405,4.479,850435100.0,0.0
2026/03/25,4.51,4.549,4.504,4.544,867712637.0,0.0
2026/03/26,4.536,4.547,4.477,4.488,474242414.0,0.0
2026/03/27,4.45,4.53,4.445,4.508,562690826.0,0.0
2026/03/30,4.462,4.505,4.453,4.5,543994287.0,0.0
2026/03/31,4.501,4.529,4.462,4.463,530565553.0,0.0
2026/04/01,4.52,4.542,4.501,4.534,501228066.0,0.0
2026/04/02,4.521,4.526,4.47,4.489,466351103.0,0.0
2026/04/03,4.495,4.506,4.446,4.454,426109595.0,0.0
2026/04/07,4.455,4.47,4.431,4.446,428568561.0,0.0
2026/04/08,4.519,4.604,4.517,4.602,996884580.0,0.0
2026/04/09,4.573,4.586,4.56,4.572,704955323.0,0.0
2026/04/10,4.588,4.664,4.588,4.642,906387271.0,0.0
2026/04/13,4.629,4.66,4.623,4.652,392892599.0,0.0
2026/04/14,4.679,4.712,4.663,4.712,427657077.0,0.0
2026/04/15,4.732,4.746,4.684,4.694,675980605.0,0.0
2026/04/16,4.704,4.747,4.7,4.746,853234423.0,0.0
2026/04/17,4.737,4.75,4.722,4.739,736150074.0,0.0
2026/04/20,4.735,4.777,4.728,4.765,762457819.0,0.0
2026/04/21,4.764,4.786,4.73,4.776,636108137.0,0.0
